ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1764388_s_at	8.86e-07	1.05e-09	-1.65e+01	12.63975	-2.655145	c3200///yfdP	hypothetical protein///CPS-53 (KpLE1) prophage; uncharacterized protein
1759072_s_at	9.27e-07	1.26e-09	-1.62e+01	12.47904	-1.798696	c1549///Z1868///Z1450///Z3356///Z0312///ECs2987///ECs1611	replication protein O of bacteriophage///replication protein O of prophage CP-933X///replication protein O of bacteriophage BP-933W///DNA replication protein O of prophage CP-933V///hypothetical protein///phage replication protein O///replication protein
1763847_at	9.27e-07	1.43e-09	-1.61e+01	12.36452	-1.901909	ECs1181	hypothetical protein
1765534_s_at	9.27e-07	1.43e-09	-1.60e+01	12.36011	-2.196644	Z1434///Z0950///Z3368///ECs0807///ECs3004///ECs1172	hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1767858_at	9.27e-07	1.47e-09	-1.60e+01	12.34037	-2.647022	c3196	hypothetical protein
1764557_s_at	9.75e-07	1.64e-09	-1.59e+01	12.23955	-2.329088	umuD///umuD///umuD///ECs1678	DNA polymerase V subunit UmuD///DNA polymerase V subunit UmuD///translesion error-prone DNA polymerase V subunit; RecA-activated auto-protease///DNA polymerase V subunit UmuD
1764904_s_at	1.01e-06	1.80e-09	-1.57e+01	12.15508	-2.68745	sulA///sulA///sulA///ECs1042	SOS cell division inhibitor///SOS cell division inhibitor///SOS cell division inhibitor///SOS cell division inhibitor
1767496_at	1.89e-06	3.55e-09	-1.48e+01	11.52985	-2.041428	c1214	Cea protein
1763202_s_at	2.10e-06	4.15e-09	-1.46e+01	11.38529	-2.502698	c1539///kilW///Z3364///ECs2998///ECs1177	hypothetical protein///Kil protein of bacteriphage BP-933W///host killing protein Kil of prophage CP-933V///Kil protein///Kil protein
1763711_at	2.73e-06	5.68e-09	-1.43e+01	11.09386	-2.042489	ymfL	hypothetical protein
1764970_x_at	3.26e-06	7.10e-09	-1.40e+01	10.88525	-2.280173	c1538	hypothetical protein
1767732_s_at	3.92e-06	8.92e-09	-1.37e+01	10.66978	-2.214379	ECs5398///c1536///Z3366///betW///Z0952///ECs3001///ECs1175	hypothetical protein///recombination protein Bet of prophage///recombination protein Bet of prophage CP-933V///Bet recombination protein of bacteriophage BP-933W///Bet recombination protein of prophage CP-933K///hypothetical protein///recombination protein Bet
1760050_s_at	7.68e-06	1.82e-08	-1.29e+01	9.99085	-1.973225	gamW///gamW///Z3365///ECs1176	host-nuclease inhibitor protein Gam of bacteriphage///host-nuclease inhibitor protein Gam of bacteriphage BP-933W///host-nuclease inhibitor protein Gam of prophage CP-933V///hypothetical protein
1760949_s_at	7.90e-06	1.95e-08	-1.28e+01	9.92501	-1.725974	c1550///Z1869///Z1451///Z3355///ECs2986///ECs1612	replication protein P of bacteriophage///replication protein P of prophage CP-933X///replication protein P of bacteriophage BP-933W///DNA replication protein P of prophage CP-933V///phage replication protein P///replication protein P
1765365_s_at	8.02e-06	2.06e-08	-1.27e+01	9.87374	-2.256022	c1542	lambda ant-restriction protein
1769187_at	1.03e-05	2.76e-08	-1.24e+01	9.59434	-2.609563	c1543	superinfection exclusion protein B of prophage
1761154_s_at	1.07e-05	2.98e-08	-1.23e+01	9.52086	-1.805414	c1534///Z3367///exoW///Z0951///exoD///ECs0809///ECs3002///ECs1174	exonuclease encoded by prophage///exonuclease of prophage CP-933V///exonuclease of bacteriophage BP-933W///exonuclease///pseudo///exonuclease///exonuclease///exonuclease
1759567_at	1.12e-05	3.21e-08	-1.23e+01	9.44954	-1.742559	c3188	hypothetical protein
1767559_s_at	1.23e-05	3.65e-08	-1.21e+01	9.32361	-1.715288	recA///recA///recA///recA	recombinase A///recombinase A///DNA recombination and repair protein; ssDNA-dependent ATPase; synaptase; ssDNA and dsDNA binding protein; ATP-dependent homologous DNA strand exchanger; recombinase A; LexA autocleavage cofactor///recombinase A
1767285_s_at	1.33e-05	4.08e-08	-1.20e+01	9.21748	-1.53505	sbmC///sbmC///sbmC///ECs2811	DNA gyrase inhibitor///DNA gyrase inhibitor///DNA gyrase inhibitor///DNA gyrase inhibitor
1760117_at	1.52e-05	4.81e-08	-1.18e+01	9.05688	-1.380797	yigN	DNA recombination protein RmuC
1768278_s_at	1.73e-05	5.65e-08	-1.17e+01	8.89965	-2.102451	c1534///Z3367///exoW///Z0951///ECs0809///ECs3002///ECs1174	exonuclease encoded by prophage///exonuclease of prophage CP-933V///exonuclease of bacteriophage BP-933W///exonuclease///exonuclease///exonuclease///exonuclease
1763783_s_at	1.74e-05	5.86e-08	-1.16e+01	8.86421	-1.386055	lexA///lexA///lexA///ECs5026	LexA repressor///LexA repressor///transcriptional repressor of SOS regulon///LexA repressor
1765695_s_at	1.84e-05	6.37e-08	-1.15e+01	8.78287	-1.369783	yebF///yebF///yebF///ECs2557	hypothetical protein///hypothetical protein///extracellular Colicin M immunity family protein///hypothetical protein
1767133_s_at	2.02e-05	7.20e-08	-1.14e+01	8.6646	-1.614325	ybcS///rrrD	lysozyme from lambdoid prophage DLP12///DLP12 prophage; putative lysozyme
1762305_s_at	2.12e-05	7.75e-08	-1.13e+01	8.59216	-1.296013	rpsR///rpsR///rpsR///rpsR	30S ribosomal protein S18///30S ribosomal protein S18///30S ribosomal subunit protein S18///30S ribosomal protein S18
1760894_s_at	3.04e-05	1.14e-07	-1.10e+01	8.21295	-1.444289	umuC///umuC///umuC///umuC	DNA polymerase V subunit UmuC///DNA polymerase V subunit UmuC///translesion error-prone DNA polymerase V subunit; DNA polymerase activity///DNA polymerase V subunit UmuC
1766160_s_at	3.14e-05	1.21e-07	-1.09e+01	8.15364	-2.164677	c1532///Z1433///Z0949///Z3369///ECs0806///ECs3005///ECs1171	hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1759464_x_at	5.66e-05	2.24e-07	-1.03e+01	7.54837	-1.68222	c1561	lambdoid prophage DLP12 lysis protein S
1768265_s_at	5.70e-05	2.31e-07	-1.03e+01	7.51745	-1.469136	dinD///dinD///dinD	DNA-damage-inducible protein D///DNA-damage-inducible protein D///DNA-damage-inducible protein D
1767471_x_at	7.44e-05	3.09e-07	-1.00e+01	7.22825	-1.74819	c3183	hypothetical protein
1766464_at	8.79e-05	3.74e-07	-9.83	7.03961	-1.602398	c1556	hypothetical protein
1761439_x_at	8.96e-05	3.97e-07	-9.78	6.97841	-1.199642	c1533	hypothetical protein
1764391_s_at	8.96e-05	4.07e-07	-9.76	6.95556	-1.716285	c1563///Z1877///Z1473///rzpD///ECs1623///ECs1215	Rz endopeptidase from lambdoid prophage DLP12///endopeptidase of prophage CP-933X///endopeptidase Rz of bacteriophage BP-933W///DLP12 prophage; putative murein endopeptidase///endopeptidase///endopeptidase
1768926_s_at	8.96e-05	4.08e-07	-9.76	6.95303	-1.526328	c1551///Z3354///ECs2985	exclusion protein ren of prophage///exclusion protein ren of prophage CP-933V///Ren protein
1767613_s_at	9.16e-05	4.26e-07	-9.72	6.9092	-2.272662	c1535	hypothetical protein
1766474_at	9.93e-05	4.71e-07	-9.63	6.80791	-1.346824	c1567	hypothetical protein
1767181_s_at	1.07e-04	5.23e-07	-9.54	6.70367	-2.313471	c1538///ECs1176	hypothetical protein///hypothetical protein
1763112_at	1.07e-04	5.27e-07	-9.53	6.69713	-1.98723	ECs1182	hypothetical protein
1766425_s_at	1.11e-04	5.60e-07	-9.48	6.63647	-1.307717	priB///priB///ECs5177	primosomal replication protein N///primosomal protein N///primosomal replication protein N
1767438_at	1.15e-04	5.91e-07	-9.43	6.58302	-1.679673	c1522	hypothetical protein
1763300_at	1.22e-04	6.38e-07	-9.36	6.50515	-1.449311	ymfM	e14 prophage; uncharacterized protein
1760178_at	1.33e-04	7.09e-07	-9.27	6.39937	-1.710168	c1531	hypothetical protein
1765738_s_at	1.55e-04	8.44e-07	-9.12	6.22548	-1.484338	c4780///yigN///yigN///rmuC///ECs4762	hypothetical protein///DNA recombination protein RmuC///DNA recombination protein RmuC///DNA recombination protein///DNA recombination protein RmuC
1767415_at	1.70e-04	9.41e-07	-9.03	6.11577	-1.550623	c1576	hypothetical protein
1762544_at	2.87e-04	1.62e-06	-8.58	5.57167	-1.406544	c1525	hypothetical protein
1765122_at	2.90e-04	1.66e-06	-8.56	5.54392	-1.213456	c1524	hypothetical protein
1764577_at	2.97e-04	1.73e-06	-8.53	5.50217	-1.684235	coxT	regulator for prophage
1765561_s_at	3.13e-04	1.86e-06	-8.47	5.43149	-1.356462	rplI///rplI///rplI///rplI	50S ribosomal protein L9///50S ribosomal protein L9///50S ribosomal subunit protein L9///50S ribosomal protein L9
1763422_s_at	3.38e-04	2.04e-06	-8.40	5.33727	-1.166296	c3139///bamE	hypothetical protein///lipoprotein component of BamABCDE OM biogenesis complex
1768714_s_at	3.42e-04	2.10e-06	-8.37	5.3077	-1.486295	c1524///c1523	hypothetical protein///hypothetical protein
1767965_at	3.77e-04	2.35e-06	-8.28	5.19383	-1.153429	dinG	ATP-dependent DNA helicase DinG
1765781_s_at	4.38e-04	2.77e-06	-8.15	5.02611	-1.338313	rus///rus///rusA///ECs1619	endodeoxyribonuclease RUS///endodeoxyribonuclease RUS///DLP12 prophage; endonuclease RUS///endodeoxyribonuclease RUS
1760241_s_at	4.47e-04	2.87e-06	-8.13	4.99024	-1.25189	rpsF///rpsF///rpsF///rpsF	30S ribosomal protein S6///30S ribosomal protein S6///30S ribosomal subunit protein S6///30S ribosomal protein S6
1764886_s_at	4.54e-04	2.96e-06	-8.10	4.95996	-1.219178	rzoR///rzoD///c1563///Z1877///rzpD///rzpR///ECs1623///ECs1624	Rac prophage; putative lipoprotein///DLP12 prophage; putative lipoprotein///Rz endopeptidase from lambdoid prophage DLP12///endopeptidase of prophage CP-933X///DLP12 prophage; putative murein endopeptidase///pseudo///endopeptidase///lipoprotein Rz1
1763115_s_at	5.38e-04	3.56e-06	-7.96	4.77278	-1.114256	c1555///Z1454///Z3349///ECs2981///ECs1196	DNA N-6-adenine-methyltransferase of bacteriophage///DNA N-6-adenine-methyltransferase of bacteriophage BP-933W///DNA methyltransferase encoded within prophage CP-933V///DNA methylase///DNA methylase
1759326_at	5.67e-04	3.83e-06	-7.90	4.69825	-1.29649	c0937	hypothetical protein
1767930_at	5.67e-04	3.87e-06	-7.90	4.68901	-1.022957	yafP	hypothetical protein
1759590_s_at	6.39e-04	4.44e-06	-7.79	4.54917	-0.742082	relA///relA///relA	GDP/GTP pyrophosphokinase///GDP/GTP pyrophosphokinase///GDP/GTP pyrophosphokinase
1765370_s_at	6.39e-04	4.48e-06	-7.78	4.53953	-1.380693	ydjM///Z2757///ydjM///ECs2434	hypothetical protein///hypothetical protein///inner membrane protein regulated by LexA///hypothetical protein
1761515_at	6.62e-04	4.71e-06	-7.75	4.48924	-1.45556	c1527	hypothetical protein
1761815_s_at	6.70e-04	4.84e-06	-7.73	4.46242	-1.207287	dinP///dinP///dinB///ECs0258	DNA polymerase IV///DNA polymerase IV///DNA polymerase IV///DNA polymerase IV
1766330_at	8.12e-04	5.99e-06	-7.57	4.24598	-1.274569	c1528	hypothetical protein
1762023_at	8.12e-04	6.02e-06	-7.56	4.24022	-0.884599	c0945	hypothetical protein
1765430_s_at	8.20e-04	6.17e-06	-7.55	4.21615	-1.587703	c3163///c1580///Z1894	tail component of prophage///tail protein///tail component of prophage CP-933X
1759873_s_at	8.29e-04	6.32e-06	-7.53	4.19174	-0.643425	yebG///yebG///yebG///ECs2558	DNA damage-inducible protein YebG///DNA damage-inducible protein YebG///DNA damage-inducible protein regulated by LexA///DNA damage-inducible protein YebG
1761125_at	9.12e-04	7.10e-06	-7.44	4.07218	-1.063991	yfdN	hypothetical protein
1764191_s_at	9.12e-04	7.12e-06	-7.44	4.06949	-1.169895	c1519///Z1866///ECs1609	prophage lambda integrase///integrase of prophage CP-933X///intergrase
1766992_at	1.07e-03	8.46e-06	-7.31	3.89431	-1.093662	c1526	hypothetical protein
1768803_at	1.17e-03	9.40e-06	-7.24	3.78669	-1.412475	c0936	hypothetical protein
1762583_at	1.27e-03	1.03e-05	-7.17	3.69176	-1.18702	c1569	DNA packaging protein of prophage; terminase large subunit
1769196_at	1.35e-03	1.11e-05	-7.12	3.62009	-1.158053	c1590	tail component of prophage
1760728_s_at	1.43e-03	1.19e-05	-7.07	3.54645	-0.91013	uxaC///uxaC///uxaC///ECs3974	glucuronate isomerase///glucuronate isomerase///uronate isomerase///glucuronate isomerase
1767276_s_at	1.45e-03	1.22e-05	-7.05	3.52217	-0.987405	c1513///Z1863///nudJ///ECs1606	Nudix hydrolase ymfB///phosphohydrolase///bifunctional thiamine pyrimidine pyrophosphate hydrolase and thiamine pyrophosphate hydrolase///phosphohydrolase
1761872_s_at	1.53e-03	1.30e-05	-7.01	3.45757	-0.69433	rplL///rplL///rplL///rplL	50S ribosomal protein L7/L12///50S ribosomal protein L7/L12///50S ribosomal subunit protein L7/L12///50S ribosomal protein L7/L12
1768350_at	1.67e-03	1.44e-05	-6.93	3.3499	-1.082674	c1554	hypothetical protein
1764088_at	1.67e-03	1.45e-05	-6.93	3.34373	-1.084135	c1585	tail component of prophage
1765017_at	1.68e-03	1.48e-05	-6.92	3.32245	-0.8779	ogrK	prophage P2 Ogr protein
1763228_at	1.78e-03	1.58e-05	-6.87	3.25593	-1.007971	nohA	prophage Qin DNA packaging protein NU1-like protein
1760599_s_at	1.79e-03	1.61e-05	-6.86	3.23942	-1.358776	cspI///cspI	cold shock-like protein cspI///Qin prophage; cold shock protein
1767561_at	2.34e-03	2.15e-05	-6.66	2.94248	-1.560065	yfdR	hypothetical protein
1768168_at	2.34e-03	2.16e-05	-6.65	2.93708	-0.747574	c4836	lipase
1766386_at	2.34e-03	2.17e-05	-6.65	2.93162	-1.175865	c0939	hypothetical protein
1769124_at	2.35e-03	2.20e-05	-6.64	2.9176	-1.313624	c0938	hypothetical protein
1764376_x_at	2.44e-03	2.32e-05	6.61	2.86518	0.704777	Z2122///ECs1100	holin protein of prophage CP-933O///holin
1759585_s_at	2.45e-03	2.35e-05	-6.60	2.85295	-1.703325	c3165///c1578///Z1891///ECs1638	tail fiber component Z of prophage///tail fiber component Z of prophage///tail component of prophage CP-933X///minor tail protein
1765067_s_at	2.50e-03	2.42e-05	-6.58	2.82287	-0.733209	rpsC///rpsC///rpsC///rpsC	30S ribosomal protein S3///30S ribosomal protein S3///30S ribosomal subunit protein S3///30S ribosomal protein S3
1765499_at	2.52e-03	2.46e-05	6.57	2.80429	0.570886	yjhG	putative dehydratase
1766432_s_at	2.58e-03	2.55e-05	-6.54	2.76738	-1.47909	c3164///c1579///Z1893///ECs1639	tail component of prophage///tail component of prophage///tail component of prophage CP-933X///minor tail protein
1767759_at	2.65e-03	2.65e-05	-6.52	2.73097	-1.084949	c3203	hypothetical protein
1767651_at	2.97e-03	3.00e-05	-6.43	2.60249	-1.494033	c1575	capsid protein of prophage
1761209_at	2.97e-03	3.03e-05	-6.43	2.59412	-0.951427	c3189	hypothetical protein
1759607_at	3.09e-03	3.20e-05	-6.39	2.53557	-1.34001	c1577	head-tail joining protein of prophage
1761483_at	3.09e-03	3.21e-05	-6.39	2.53502	-1.153551	c1492	hypothetical protein
1759638_s_at	3.14e-03	3.29e-05	-6.37	2.50974	-1.198305	c3192///oweS	hypothetical protein///pseudo
1759854_s_at	3.15e-03	3.34e-05	-6.36	2.49192	-1.183018	c3162///c1583///Z1895///ECs1641	tail component of prophage///tail component of prophage///tail component of prophage CP-933X///minor tail protein
1768568_at	3.15e-03	3.36e-05	-6.36	2.48648	-0.699765	c1488	hypothetical protein
1760994_at	3.15e-03	3.39e-05	-6.35	2.47746	-1.172906	c1591	hypothetical protein
1763668_s_at	3.42e-03	3.72e-05	-6.29	2.38385	-0.707748	sspA///sspA///sspA///sspA	stringent starvation protein A///stringent starvation protein A///stringent starvation protein A, phage P1 late gene activator, RNAP-associated acid-resistance protein, inactive glutathione S-transferase homolog///stringent starvation protein A
1766450_s_at	3.93e-03	4.32e-05	-6.19	2.23056	-0.757845	ruvA///ruvA///ruvA///ruvA	Holliday junction DNA helicase RuvA///Holliday junction DNA helicase RuvA///component of RuvABC resolvasome, regulatory subunit///Holliday junction DNA helicase RuvA
1760179_at	4.48e-03	4.96e-05	-6.10	2.08987	-0.862597	intT	integrase for prophage
1759694_s_at	4.56e-03	5.09e-05	-6.08	2.06253	-0.906577	rplJ///rplJ///rplJ///rplJ	50S ribosomal protein L10///50S ribosomal protein L10///50S ribosomal subunit protein L10///50S ribosomal protein L10
1765551_at	4.63e-03	5.22e-05	-6.07	2.03735	-0.811065	c1213	hypothetical protein
1763436_s_at	4.72e-03	5.37e-05	-6.05	2.00808	-0.997442		
1763636_at	4.80e-03	5.51e-05	6.03	1.98139	0.603555	c1435	hypothetical protein
1767317_s_at	5.93e-03	6.86e-05	-5.89	1.75786	-1.243947	c1592	hypothetical protein
1762090_s_at	5.96e-03	6.96e-05	-5.88	1.74328	-0.940023	ECs0810///ECs2980///ECs1197	protein NinE///protein NinE///protein NinE
1763592_at	6.34e-03	7.46e-05	-5.84	1.67147	-1.070236	c1593	hypothetical protein
1764736_at	6.47e-03	7.68e-05	-5.82	1.64198	-0.765435	c1504	hypothetical protein
1765469_s_at	6.48e-03	7.75e-05	-5.82	1.63227	-1.19566	c1514///ymfC///rluE///ECs1607	hypothetical protein///23S rRNA pseudouridine synthase E///23S rRNA pseudouridine(2457) synthase///23S rRNA pseudouridine(2457) synthase
1766092_at	6.88e-03	8.35e-05	-5.77	1.55692	-0.887855	c3199	hypothetical protein
1768018_s_at	6.88e-03	8.37e-05	-5.77	1.55362	-1.01156	c4078	hypothetical protein
1765306_at	7.19e-03	8.82e-05	5.73	1.50033	0.557278	sgcQ	putative nucleoside triphosphatase
1766325_s_at	7.32e-03	9.08e-05	-5.72	1.47111	-0.613437	yghZ///Z4354///gpr///ECs3885	aldo/keto reductase///aldo/keto reductase///L-glyceraldehyde 3-phosphate reductase///aldo/keto reductase
1764633_at	7.32e-03	9.13e-05	-5.71	1.4657	-0.686812	yfiQ	hypothetical protein
1763836_s_at	8.01e-03	1.01e-04	-5.65	1.36649	-0.636377	fbp///fbp///fbp///ECs5209	fructose-1,6-bisphosphatase///fructose-1,6-bisphosphatase///fructose-1,6-bisphosphatase I///fructose-1,6-bisphosphatase
1760821_at	8.11e-03	1.03e-04	-5.64	1.34541	-0.670042	imp	organic solvent tolerance protein
1760335_s_at	8.21e-03	1.05e-04	-5.63	1.32445	-1.150275	c3161///c1584///Z1898///ECs1642	tail component of prophage///tail component of prophage///tail component of prophage CP-933X///minor tail protein
1766820_at	8.39e-03	1.08e-04	-5.61	1.29511	-1.006209	ECs3006	C4-type zinc finger protein
1767026_at	8.41e-03	1.09e-04	-5.60	1.28404	-0.810633	c0970	hypothetical protein
1765982_s_at	9.04e-03	1.18e-04	-5.55	1.20244	-0.559328	moaB///moaB///moaB///ECs0860	molybdenum cofactor biosynthesis protein B///molybdopterin biosynthesis, protein B///inactive molybdopterin adenylyltransferase///molybdenum cofactor biosynthesis protein B
1765329_s_at	9.24e-03	1.22e-04	-5.53	1.17233	-0.71352	ydfD///Z6079///Z2038///ydfD///ECs1760///ECs2285	hypothetical protein///hypothetical protein///hypothetical protein///Qin prophage; uncharacterized protein///hypothetical protein///hypothetical protein
1768478_s_at	9.96e-03	1.32e-04	-5.48	1.08832	-0.795315	c3607///c2508///c5144///c1530	hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1763796_s_at	1.00e-02	1.34e-04	-5.48	1.07659	-0.551092	rumA///rumA///rlmD///rumA	23S rRNA 5-methyluridine methyltransferase///23S rRNA 5-methyluridine methyltransferase///23S rRNA m(5)U1939 methyltransferase, SAM-dependent///23S rRNA (uracil(1939)-C(5))-methyltransferase
1768467_x_at	1.02e-02	1.37e-04	5.46	1.05119	0.678424	Z3106///Z6053///Z2069///Z1350///ECs2261///ECs2188///ECs3497///ECs1782	holin protein of prophage CP-933U///holin protein encoded by cryptic prophage CP-933P///holin protein of prophage CP-933O///holin protein of cryptic prophage CP-933M///holin///holin///holin///holin
1761244_s_at	1.02e-02	1.38e-04	-5.45	1.04077	-0.723629	rplV///rplV///rplV///rplV	50S ribosomal protein L22///50S ribosomal protein L22///50S ribosomal subunit protein L22///50S ribosomal protein L22
1766080_at	1.07e-02	1.46e-04	5.42	0.98183	0.585132	Z1797	antirepressor of prophage CP-933N
1759734_s_at	1.08e-02	1.48e-04	5.41	0.97184	0.584775	Z3124///ECs2763	hypothetical protein///hypothetical protein
1768811_s_at	1.15e-02	1.59e-04	-5.37	0.89954	-0.979404	c0859	hypothetical protein
1763865_s_at	1.16e-02	1.62e-04	-5.36	0.88073	-0.575531	yiiQ///yiiQ///yiiQ///ECs4845	hypothetical protein///hypothetical protein///DUF1454 family putative periplasmic protein///hypothetical protein
1760365_s_at	1.18e-02	1.65e-04	5.35	0.85803	0.470562	Z3614///ECs3232	prophage DNA injection protein///acyltransferase
1765395_s_at	1.20e-02	1.70e-04	-5.33	0.82976	-0.508855	ycfC///ycfC///hflD///ECs1604	hypothetical protein///hypothetical protein///putative lysogenization regulator///hypothetical protein
1760679_at	1.25e-02	1.78e-04	5.30	0.785	0.53851	ryjA	ncRNA
1759924_at	1.25e-02	1.79e-04	-5.30	0.77873	-0.676316	ileS	isoleucyl-tRNA synthetase
1763976_at	1.31e-02	1.89e-04	-5.26	0.72087	-1.054574	c3156	tail fiber component K of prophage
1768126_at	1.34e-02	1.95e-04	-5.25	0.68938	-0.663082	c1545	hypothetical protein
1763857_s_at	1.34e-02	1.96e-04	5.24	0.68278	0.86444	ECs5456///mokP///Z2054///Z1783///Z1342///hokD///ECs1520///ECs1773///ECs1080///ECs2754	hypothetical protein///cell killing protein encoded within cryptic prophage CP-933P///killer protein encoded by prophage CP-933O; paralogous proteins disrupt host membranes when produced in excess///Gef-like protein encoded by prophage CP-933N///cell killing protein encoded within cryptic prophage CP-933M///Qin prophage; small toxic polypeptide///prophage maintenance protein///prophage maintenance protein///prophage maintenance protein///prophage maintenance protein
1762045_s_at	1.35e-02	1.99e-04	5.23	0.66939	0.49272		
1767188_s_at	1.38e-02	2.05e-04	-5.22	0.63738	-0.56716	c0410///Z0370///ECs0332	hypothetical protein///hypothetical protein///hypothetical protein
1759352_s_at	1.41e-02	2.10e-04	-5.20	0.61389	-0.60467	rplP///rplP///rplP///rplP	50S ribosomal protein L16///50S ribosomal protein L16///50S ribosomal subunit protein L16///50S ribosomal protein L16
1765702_s_at	1.45e-02	2.18e-04	-5.18	0.57681	-0.591095	ybcQ///quuD	lambdoid prophage DLP12 antitermination protein Q///DLP12 prophage; putative antitermination protein
1763076_s_at	1.50e-02	2.27e-04	5.15	0.53324	0.639896	nhaR///nhaR///nhaR	transcriptional activator NhaR///transcriptional activator of nhaA///transcriptional activator NhaR
1765080_s_at	1.51e-02	2.31e-04	-5.14	0.51517	-0.946788	c3158///c1587///ECs1645	tail component of prophage///tail component of prophage///minor tail protein
1763881_s_at	1.51e-02	2.35e-04	-5.13	0.49844	-0.45279	cydA///cydA///cydA///ECs0768	cytochrome D ubiquinol oxidase subunit I///cytochrome d terminal oxidase, polypeptide subunit I///cytochrome d terminal oxidase, subunit I///cytochrome d terminal oxidase polypeptide subunit I
1764984_s_at	1.51e-02	2.35e-04	-5.13	0.49809	-0.886473	c3166///Z1890///ECs2172///ECs1637	head-tail joining protein of prophage///head-tail joining protein of prophage CP-933X///tail attachment protein///minor capsid protein
1766728_x_at	1.51e-02	2.36e-04	5.13	0.49525	0.539779	Z2343///Z2146///ECs1122	outer membrane protein Lom encoded by prophage CP-933R///outer membrane protein Lom of prophage CP-933O///outer membrane protein
1768884_s_at	1.51e-02	2.37e-04	-5.13	0.49048	-0.535811	recX///recX///recX///recX	recombination regulator RecX///recombination regulator RecX///regulatory protein for RecA///recombination regulator RecX
1759657_s_at	1.51e-02	2.37e-04	-5.13	0.49042	-1.177782	c3160///c1585///ECs1643	tail component of prophage///tail component of prophage///tail length tape measure protein
1761924_s_at	1.51e-02	2.41e-04	-5.12	0.47478	-0.757908	yhaF///yhaF///garL///ECs4004	alpha-dehydro-beta-deoxy-D-glucarate aldolase///alpha-dehydro-beta-deoxy-D-glucarate aldolase///alpha-dehydro-beta-deoxy-D-glucarate aldolase///5-keto-4-deoxy-D-glucarate aldolase
1760754_s_at	1.51e-02	2.41e-04	-5.12	0.47397	-0.976654	c3139///smpA///bamE///ECs3479	hypothetical protein///small membrane protein A///lipoprotein component of BamABCDE OM biogenesis complex///small membrane protein A
1768728_at	1.51e-02	2.41e-04	-5.12	0.47242	-0.837049	c3181	hypothetical protein
1764030_s_at	1.55e-02	2.50e-04	-5.10	0.4349	-0.941791	c1581	hypothetical protein
1765278_s_at	1.58e-02	2.56e-04	-5.08	0.41066	-1.269361	c3155///c1589///ECs1647	tail component of prophage///tail component of prophage///tail assembly protein
1760161_s_at	1.65e-02	2.73e-04	-5.05	0.34656	-0.654102	rdgC///rdgC///rdgC///rdgC	recombination associated protein///recombination associated protein///nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function///recombination associated protein
1761540_s_at	1.65e-02	2.75e-04	-5.04	0.33946	-0.486185	arcA///arcA///arcA///ECs5359	two-component response regulator///two-component response regulator///response regulator in two-component regulatory system with ArcB or CpxA///two-component response regulator
1767148_at	1.65e-02	2.75e-04	-5.04	0.33797	-0.51654	cyaA	adenylate cyclase
1760884_s_at	1.65e-02	2.76e-04	-5.04	0.33306	-0.882243	c4064	hypothetical protein
