ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1765695_s_at	0.00006736	2.04e-07	12.699819	7.78772	2.50294	yebF///yebF///yebF///ECs2557	hypothetical protein///hypothetical protein///extracellular Colicin M immunity family protein///hypothetical protein
1764391_s_at	0.00007054	2.23e-07	12.579297	7.70244	3.00252	c1563///Z1877///Z1473///rzpD///ECs1623///ECs1215	Rz endopeptidase from lambdoid prophage DLP12///endopeptidase of prophage CP-933X///endopeptidase Rz of bacteriophage BP-933W///DLP12 prophage; putative murein endopeptidase///endopeptidase///endopeptidase
1768265_s_at	0.00007858	2.58e-07	12.379658	7.55916	2.50256	dinD///dinD///dinD	DNA-damage-inducible protein D///DNA-damage-inducible protein D///DNA-damage-inducible protein D
1764970_x_at	0.00009539	3.26e-07	12.072257	7.33348	3.16852	c1538	hypothetical protein
1767965_at	0.00010104	3.59e-07	11.948478	7.24083	0.85862	dinG	ATP-dependent DNA helicase DinG
1760894_s_at	0.00011705	4.73e-07	11.596056	6.97128	2.0165	umuC///umuC///umuC///umuC	DNA polymerase V subunit UmuC///DNA polymerase V subunit UmuC///translesion error-prone DNA polymerase V subunit; DNA polymerase activity///DNA polymerase V subunit UmuC
1760994_at	0.00011705	4.78e-07	11.58203	6.96038	1.53214	c1591	hypothetical protein
1763947_s_at	0.00011705	4.82e-07	11.572145	6.95268	3.02954	dinI///dinI///dinI///ECs1439	DNA damage-inducible protein I///DNA damage-inducible protein I///DNA damage-inducible protein I///DNA damage-inducible protein I
1767380_s_at	0.00011705	4.88e-07	11.556719	6.94065	1.7685	ydjQ///cho	nucleotide excision repair endonuclease///endonuclease of nucleotide excision repair
1760179_at	0.00011705	4.93e-07	11.54502	6.93152	2.23726	intT	integrase for prophage
1760178_at	0.00015315	6.65e-07	11.174625	6.6373	2.58924	c1531	hypothetical protein
1768278_s_at	0.00015376	6.88e-07	11.133427	6.60395	2.92206	c1534///Z3367///exoW///Z0951///ECs0809///ECs3002///ECs1174	exonuclease encoded by prophage///exonuclease of prophage CP-933V///exonuclease of bacteriophage BP-933W///exonuclease///exonuclease///exonuclease///exonuclease
1760335_s_at	0.00015403	7.09e-07	11.096177	6.57368	2.2568	c3161///c1584///Z1898///ECs1642	tail component of prophage///tail component of prophage///tail component of prophage CP-933X///minor tail protein
1759607_at	0.00016933	8.02e-07	10.94816	6.45236	2.6461	c1577	head-tail joining protein of prophage
1763881_s_at	0.00018199	9.04e-07	-10.805692	6.33398	-0.38276	cydA///cydA///cydA///ECs0768	cytochrome D ubiquinol oxidase subunit I///cytochrome d terminal oxidase, polypeptide subunit I///cytochrome d terminal oxidase, subunit I///cytochrome d terminal oxidase polypeptide subunit I
1762849_s_at	0.00018199	9.09e-07	10.797967	6.32752	3.13214	c1547///ECs1186	hypothetical protein///CRO
1768168_at	0.00018549	9.51e-07	10.744818	6.28291	2.51972	c4836	lipase
1765781_s_at	0.00022028	1.16e-06	10.514598	6.0871	1.70914	rus///rus///rusA///ECs1619	endodeoxyribonuclease RUS///endodeoxyribonuclease RUS///DLP12 prophage; endonuclease RUS///endodeoxyribonuclease RUS
1759854_s_at	0.00026137	1.43e-06	10.271806	5.87588	2.35788	c3162///c1583///Z1895///ECs1641	tail component of prophage///tail component of prophage///tail component of prophage CP-933X///minor tail protein
1762090_s_at	0.00026137	1.44e-06	10.262333	5.86753	1.63422	ECs0810///ECs2980///ECs1197	protein NinE///protein NinE///protein NinE
1759982_s_at	0.00026137	1.48e-06	10.23626	5.84454	0.77638	c3163///Z1894///ECs1640	tail component of prophage///tail component of prophage CP-933X///major tail protein V
1759072_s_at	0.00026301	1.52e-06	10.203256	5.81534	2.21102	c1549///Z1868///Z1450///Z3356///Z0312///ECs2987///ECs1611	replication protein O of bacteriophage///replication protein O of prophage CP-933X///replication protein O of bacteriophage BP-933W///DNA replication protein O of prophage CP-933V///hypothetical protein///phage replication protein O///replication protein
1763202_s_at	0.00033826	2.01e-06	9.893115	5.53639	3.04758	c1539///kilW///Z3364///ECs2998///ECs1177	hypothetical protein///Kil protein of bacteriphage BP-933W///host killing protein Kil of prophage CP-933V///Kil protein///Kil protein
1761515_at	0.00033826	2.05e-06	9.873944	5.51887	1.86908	c1527	hypothetical protein
1766464_at	0.00033902	2.10e-06	9.847925	5.49504	2.1188	c1556	hypothetical protein
1768656_at	0.0003983	2.51e-06	-9.650157	5.31189	-1.69748	c3655	antigen 43
1768926_s_at	0.00039984	2.62e-06	9.604845	5.26943	1.97764	c1551///Z3354///ECs2985	exclusion protein ren of prophage///exclusion protein ren of prophage CP-933V///Ren protein
1759464_x_at	0.00039984	2.63e-06	9.602181	5.26692	2.8627	c1561	lambdoid prophage DLP12 lysis protein S
1767133_s_at	0.00040717	2.73e-06	9.561556	5.22868	2.35794	ybcS///rrrD	lysozyme from lambdoid prophage DLP12///DLP12 prophage; putative lysozyme
1767415_at	0.00041071	2.81e-06	9.531592	5.20037	2.3612	c1576	hypothetical protein
1761323_s_at	0.00041809	2.91e-06	9.492388	5.16321	2.47728	c1549///Z1450///Z3356///Z0311///ECs2987	replication protein O of bacteriophage///replication protein O of bacteriophage BP-933W///DNA replication protein O of prophage CP-933V///hypothetical protein///phage replication protein O
1761394_s_at	0.00042587	3.02e-06	9.45303	5.12575	1.87822	c1572///c1448///Z2361///Z2134///ECs2732///ECs1108	capsid assembly protein of prophage///capsid assembly protein of prophage///capsid assembly protein of prophage CP-933R///head-tail preconnector protein of prophage CP-933O///head-tail preconnector protein///head-tail preconnector protein
1761439_x_at	0.00043063	3.16e-06	9.407677	5.08241	1.69678	c1533	hypothetical protein
1765738_s_at	0.00043063	3.17e-06	9.402901	5.07783	1.2724	c4780///yigN///yigN///rmuC///ECs4762	hypothetical protein///DNA recombination protein RmuC///DNA recombination protein RmuC///DNA recombination protein///DNA recombination protein RmuC
1768478_s_at	0.00047567	3.57e-06	9.280103	4.95944	0.6838	c3607///c2508///c5144///c1530	hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1766330_at	0.00050507	3.85e-06	9.199749	4.88117	1.67802	c1528	hypothetical protein
1764088_at	0.00057804	4.49e-06	9.043473	4.72715	2.03406	c1585	tail component of prophage
1760002_at	0.0006709	5.29e-06	8.875498	4.55886	1.16068	uvrA	excinuclease ABC subunit A
1763592_at	0.00097283	7.80e-06	8.491973	4.16369	1.36882	c1593	hypothetical protein
1764191_s_at	0.0009886	8.11e-06	8.454707	4.12445	1.44598	c1519///Z1866///ECs1609	prophage lambda integrase///integrase of prophage CP-933X///intergrase
1768119_s_at	0.0009886	8.19e-06	8.44513	4.11435	1.47608	Z1867///ECs1610	integrase of prophage CP-933X///excisionase
1765702_s_at	0.00102143	8.60e-06	8.398419	4.06491	1.08894	ybcQ///quuD	lambdoid prophage DLP12 antitermination protein Q///DLP12 prophage; putative antitermination protein
1768774_at	0.00106762	9.26e-06	8.327337	3.98923	2.4559	c1548	regulatory protein CII of bacteriophage
1763115_s_at	0.00106762	9.27e-06	8.326459	3.98829	2.04804	c1555///Z1454///Z3349///ECs2981///ECs1196	DNA N-6-adenine-methyltransferase of bacteriophage///DNA N-6-adenine-methyltransferase of bacteriophage BP-933W///DNA methyltransferase encoded within prophage CP-933V///DNA methylase///DNA methylase
1768350_at	0.00107378	9.46e-06	8.306595	3.96704	1.7211	c1554	hypothetical protein
1765278_s_at	0.00125635	1.12e-05	8.14381	3.79123	1.63998	c3155///c1589///ECs1647	tail component of prophage///tail component of prophage///tail assembly protein
1765469_s_at	0.00126262	1.15e-05	8.125421	3.77118	0.4372	c1514///ymfC///rluE///ECs1607	hypothetical protein///23S rRNA pseudouridine synthase E///23S rRNA pseudouridine(2457) synthase///23S rRNA pseudouridine(2457) synthase
1769263_at	0.00133414	1.23e-05	-8.06041	3.7	-0.7151	c1273	antigen 43
1761951_s_at	0.00136717	1.29e-05	8.012852	3.64762	1.53186	c1574///c1450///Z2360///Z2135///ECs2731///ECs1109	capsid protein of prophage///capsid protein of prophage///capsid protein of prophage CP-933R///capsid protein small subunit of prophage CP-933O///head decoration protein///head decoration protein
1765551_at	0.00136717	1.29e-05	8.01144	3.64606	1.28132	c1213	hypothetical protein
1767438_at	0.0014921	1.43e-05	7.917866	3.54222	1.96122	c1522	hypothetical protein
1767285_s_at	0.00176255	1.72e-05	7.753357	3.3572	1.76226	sbmC///sbmC///sbmC///ECs2811	DNA gyrase inhibitor///DNA gyrase inhibitor///DNA gyrase inhibitor///DNA gyrase inhibitor
1763489_s_at	0.00177519	1.75e-05	7.734744	3.33606	1.53826	c1575///c1451///Z2359///Z2136///ECs1110///ECs2730	capsid protein of prophage///capsid protein of prophage///capsid structural protein of prophage CP-933R///major capsid protein of prophage CP-933O///major head protein///major head protein
1768126_at	0.00192995	1.93e-05	7.647551	3.2365	0.91436	c1545	hypothetical protein
1768884_s_at	0.00200686	2.03e-05	7.600898	3.18285	1.38168	recX///recX///recX///recX	recombination regulator RecX///recombination regulator RecX///regulatory protein for RecA///recombination regulator RecX
1760949_s_at	0.00207356	2.17e-05	7.543414	3.11638	1.99534	c1550///Z1869///Z1451///Z3355///ECs2986///ECs1612	replication protein P of bacteriophage///replication protein P of prophage CP-933X///replication protein P of bacteriophage BP-933W///DNA replication protein P of prophage CP-933V///phage replication protein P///replication protein P
1761491_s_at	0.00207356	2.17e-05	7.541536	3.1142	1.55508	c1571///c1447	capsid protein of prophage///capsid protein of prophage
1761196_s_at	0.00207356	2.18e-05	7.537793	3.10986	1.2134	ylcG///c1558	uncharacterized protein, DLP12 prophage///hypothetical protein
1767857_s_at	0.00207891	2.24e-05	7.515581	3.08405	1.25772		
1766450_s_at	0.00207891	2.24e-05	7.51363	3.08178	1.02274	ruvA///ruvA///ruvA///ruvA	Holliday junction DNA helicase RuvA///Holliday junction DNA helicase RuvA///component of RuvABC resolvasome, regulatory subunit///Holliday junction DNA helicase RuvA
1762583_at	0.00237965	2.60e-05	7.384138	2.9301	1.9587	c1569	DNA packaging protein of prophage; terminase large subunit
1762147_x_at	0.00256259	2.83e-05	7.30922	2.84139	0.86642	ECs1173	hypothetical protein
1766992_at	0.00269024	3.01e-05	7.256914	2.77904	1.55104	c1526	hypothetical protein
1761815_s_at	0.00281178	3.18e-05	7.208795	2.72137	1.7012	dinP///dinP///dinB///ECs0258	DNA polymerase IV///DNA polymerase IV///DNA polymerase IV///DNA polymerase IV
1765080_s_at	0.0028275	3.24e-05	7.194086	2.70368	0.9885	c3158///c1587///ECs1645	tail component of prophage///tail component of prophage///minor tail protein
1761275_at	0.0028838	3.34e-05	7.167405	2.67153	0.42982	c0944	hypothetical protein
1766686_s_at	0.00301055	3.52e-05	7.121047	2.61545	1.48314	dinF///dinF///dinF///ECs5027	DNA-damage-inducible SOS response protein///DNA-damage-inducible SOS response protein///oxidative stress resistance protein; putative MATE family efflux pump; UV and mitomycin C inducible protein///DNA-damage-inducible SOS response protein
1763228_at	0.00319778	3.82e-05	7.053582	2.53334	1.90032	nohA	prophage Qin DNA packaging protein NU1-like protein
1763040_s_at	0.00319778	3.83e-05	7.050988	2.53017	0.59786	ydgE///Z2593///mdtI///ECs2305	multidrug efflux system protein MdtI///multidrug efflux system protein MdtI///multidrug efflux system transporter///multidrug efflux system protein MdtI
1769196_at	0.00341557	4.13e-05	6.986235	2.45078	1.4713	c1590	tail component of prophage
1767958_s_at	0.00378137	4.62e-05	-6.892106	2.3344	-0.54466	c3251///Z4000	hypothetical protein///hypothetical protein
1767930_at	0.00391408	4.84e-05	6.854562	2.28766	1.13442	yafP	hypothetical protein
1766432_s_at	0.00479679	5.99e-05	6.678707	2.06621	1.67984	c3164///c1579///Z1893///ECs1639	tail component of prophage///tail component of prophage///tail component of prophage CP-933X///minor tail protein
1762544_at	0.00496323	6.27e-05	6.642454	2.02004	1.02746	c1525	hypothetical protein
1759078_at	0.00570638	7.28e-05	-6.521523	1.86474	-0.54262	c2520	hypothetical protein
1765618_at	0.00593551	7.65e-05	6.48181	1.81331	0.8988	ECs1185	cI repressor protein
1764684_at	0.0073661	9.59e-05	6.302882	1.57886	0.54292	c3273	hypothetical protein
1759192_at	0.00781593	1.03e-04	6.248663	1.50693	0.82942	ruvB	Holliday junction DNA helicase RuvB
1764848_s_at	0.00786675	1.04e-04	6.235856	1.48988	1.3164		
1759657_s_at	0.00799919	1.07e-04	6.2152	1.46234	1.51146	c3160///c1585///ECs1643	tail component of prophage///tail component of prophage///tail length tape measure protein
1762924_s_at	0.00929332	1.26e-04	6.09184	1.29657	0.86294	yeeA///yeeA///yeeA///ECs2810	hypothetical protein///hypothetical protein///putative transporter, FUSC family inner membrane protein///hypothetical protein
1769187_at	0.0098253	1.34e-04	6.041827	1.22875	0.95152	c1543	superinfection exclusion protein B of prophage
1763183_s_at	0.01012545	1.40e-04	6.011587	1.18757	0.27616		
1765609_s_at	0.01088006	1.52e-04	5.949846	1.10308	0.37056	secG///secG///secG///secG	preprotein translocase subunit SecG///preprotein translocase subunit SecG///preprotein translocase membrane subunit///preprotein translocase subunit SecG
1766889_at	0.01097184	1.54e-04	5.936397	1.08461	0.6134	c3274	hypothetical protein
1767522_s_at	0.01117458	1.59e-04	5.915561	1.05593	1.33028	c1094	hypothetical protein
1769258_s_at	0.01212634	1.74e-04	5.847235	0.96146	0.55732	ubiE///ubiE///ubiE///ubiE	ubiquinone/menaquinone biosynthesis methyltransferase///ubiquinone/menaquinone biosynthesis methyltransferase///bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase/ S-adenosylmethionine:2-DMK methyltransferase///ubiquinone/menaquinone biosynthesis methyltransferase
1767317_s_at	0.01217855	1.76e-04	5.837187	0.94751	0.74694	c1592	hypothetical protein
1768811_s_at	0.01309566	1.91e-04	5.776314	0.86269	0.51616	c0859	hypothetical protein
1765291_s_at	0.01315957	1.95e-04	-5.762209	0.84296	-0.36122	c0285///c2522///Z1653///Z1213///ECs2797///ECs1398	hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1762864_s_at	0.01315957	1.96e-04	5.759439	0.83908	0.43476	ubiB///ubiB///ubiB///ubiB	ubiquinone biosynthesis protein UbiB///ubiquinone biosynthesis protein UbiB///regulator of octaprenylphenol hydroxylation, ubiquinone synthesis; regulator of 2'-N-acetyltransferase; putative ABC1 family protein kinase///ubiquinone biosynthesis protein UbiB
1767748_s_at	0.01439254	2.16e-04	5.686728	0.73688	0.52124	yedR///Z3056///yedR///ECs2701	hypothetical protein///hypothetical protein///inner membrane protein///hypothetical protein
1767769_s_at	0.01478782	2.24e-04	5.660379	0.69966	0.50112	c3608///c2509///c5145///c0268///c1529	hypothetical protein///insertion sequence ATP-binding protein///hypothetical protein///hypothetical protein///hypothetical protein
1767888_s_at	0.01482938	2.27e-04	-5.648582	0.68296	-0.69132	ydfZ///Z2156///ydfZ///ECs2150	hypothetical protein///hypothetical protein///selenoprotein, function unknown///hypothetical protein
1760877_at	0.01482938	2.28e-04	-5.645666	0.67883	-0.43746	iroC	ABC transporter ATP-binding protein
1760571_s_at	0.0157075	2.44e-04	5.597357	0.61021	0.362	c1493	hypothetical protein
1762487_s_at	0.01675672	2.62e-04	5.544158	0.53426	0.47484	yigP///yigP///ubiJ///ECs4764	hypothetical protein///hypothetical protein///aerobic ubiquinone synthesis protein, SCP2 family protein///hypothetical protein
1764850_at	0.01722323	2.72e-04	5.518189	0.49703	0.70668	c0882	hypothetical protein
1764986_at	0.01782756	2.84e-04	-5.487267	0.45258	-0.3968	c2452	hypothetical protein
1766788_s_at	0.02268858	3.64e-04	-5.30896	0.19352	-0.76868	c2520///c0287	hypothetical protein///hypothetical protein
1762024_s_at	0.02330844	3.77e-04	5.284105	0.15704	0.9825	pspG///pspG///pspG///pspG	phage shock protein G///phage shock protein G///phage shock protein G///phage shock protein G
1763540_x_at	0.02458151	4.02e-04	5.238383	0.0897	0.446	c5167///c5178///c0139///c1553///c1521///c1262///Z3095///Z2430///Z2376///Z2073///Z4503///Z1934///Z5880///Z4334///Z3924///Z3297///ECs2219///ECs3133///ECs2959///ECs2932///ECs3862///ECs4025///ECs3491///ECs1208///ECs5244///ECs2745///ECs1666///ECs1918	transposase IS629///transposase IS629///transposase IS629///transposase IS629///transposase IS629///transposase IS629///transposase encoded within prophage CP-933U///transposase for IS629///IS629 transposase within prophage CP-933R///transposase within CP-933O///transposase///transposase for IS629///transposase///IS629 transposase///transposase///transposase for IS629///transposase///transposase///transposase///transposase///transposase///transposase///transposase///transposase///transposase///transposase///transposase///transposase
1768930_at	0.02458151	4.04e-04	5.23523	0.08504	0.45704	uvrD	DNA-dependent helicase II
1760039_s_at	0.02458691	4.07e-04	-5.229472	0.07654	-0.28534	ygbJ///ygbJ	oxidoreductase ygbJ///putative dehydrogenase
1764199_s_at	0.02547017	4.25e-04	-5.199149	0.03167	-0.46646	ECs5391///cydX	hypothetical protein///cytochrome d (bd-I) ubiquinol oxidase subunit X
1762281_s_at	0.02618026	4.41e-04	-5.174409	-0.00504	-0.62124	yehD///yehD	hypothetical protein///putative fimbrial-like adhesin protein
1765784_s_at	0.02629461	4.46e-04	-5.165924	-0.01765	-0.56108	exuT///exuT	hexuronate transporter///hexuronate transporter
1766363_s_at	0.02788277	4.77e-04	5.11967	-0.08657	0.33042	yhbE///yhbE///yhbE///ECs4063	transport protein YhbE///hypothetical protein///EamA family inner membrane putative transporter///hypothetical protein
1765634_s_at	0.03062672	5.28e-04	-5.048947	-0.19255	-0.26796	nrfC///nrfC///nrfC///ECs5054	NrfC protein///formate-dependent nitrite reductase; Fe-S centers///formate-dependent nitrite reductase, 4Fe4S subunit///NrfC
1767613_s_at	0.03062672	5.32e-04	5.044072	-0.19988	1.1239	c1535	hypothetical protein
1762767_s_at	0.03100783	5.42e-04	-5.030338	-0.22056	-0.42252	hybG///hybG///hybG///ECs3875	hydrogenase 2 accessory protein HypG///hydrogenase 2 accessory protein HypG///hydrogenase 2 accessory protein///hydrogenase 2 accessory protein HypG
1765122_at	0.03125806	5.51e-04	5.019641	-0.23668	0.93426	c1524	hypothetical protein
1766632_s_at	0.03213407	5.71e-04	-4.995523	-0.27309	-0.2528	yfcM///Z3589///epmC///ECs3210	hypothetical protein///transporting ATPase///Elongation Factor P Lys34 hydroxylase///transporting ATPase
1766028_s_at	0.03346176	5.98e-04	4.962701	-0.32277	1.03106	ECs5406///c1570///c1446///Z2363///Z2132///ECs2734	hypothetical protein///DNA packaging protein of prophage///DNA packaging protein of prophage///DNA packaging protein of prophage CP-933R///head completion protein of prophage CP-933O///head completion protein
1762067_at	0.03387337	6.10e-04	4.949324	-0.34307	0.65622	mgtA	magnesium-transporting ATPase MgtA
1763948_s_at	0.03429973	6.22e-04	4.935809	-0.3636	0.53202	uvrB///uvrB///uvrB///ECs0857	excinuclease ABC subunit B///excinuclease ABC subunit B///exision nuclease of nucleotide excision repair, DNA damage recognition component///excinuclease ABC subunit B
1762885_at	0.03640087	6.66e-04	4.889295	-0.43445	0.26286	c4811	hypothetical protein
1767909_at	0.03640087	6.70e-04	-4.885514	-0.44022	-0.58834	nikB	nickel transporter permease NikB
1762036_s_at	0.03840369	7.12e-04	4.84437	-0.50317	0.51076	rpmE///rpmE///rpmE	50S ribosomal protein L31///50S ribosomal subunit protein L31///50S ribosomal protein L31
1766746_s_at	0.03860763	7.21e-04	4.836007	-0.516	0.48496	ydhI///Z2658///ydhI///ECs2352	hypothetical protein///hypothetical protein///DUF1656 family putative inner membrane efflux pump associated protein///hypothetical protein
1763091_s_at	0.03894526	7.32e-04	-4.82538	-0.53231	-0.48672	nirD///nirD///nirD///nirD	nitrite reductase small subunit///nitrite reductase small subunit///nitrite reductase (NADH) small subunit///nitrite reductase small subunit
1768793_s_at	0.04128292	7.82e-04	-4.781393	-0.59999	-0.26074	yegL///Z3241///yegL///ECs2881	hypothetical protein///hypothetical protein///VMA domain protein///hypothetical protein
1768714_s_at	0.04157339	7.93e-04	4.772027	-0.61444	1.00238	c1524///c1523	hypothetical protein///hypothetical protein
1766716_s_at	0.04179489	8.02e-04	-4.763841	-0.62707	-0.3555	nrdG///nrdG///nrdG///nrdG	anaerobic ribonucleotide reductase-activating protein///anaerobic ribonucleotide reductase-activating protein///anaerobic ribonucleotide reductase activating protein///anaerobic ribonucleotide reductase-activating protein
1766379_at	0.04362597	8.43e-04	4.730521	-0.67861	0.26966	rfaH	transcriptional activator RfaH
1763711_at	0.04443034	8.65e-04	4.713769	-0.70458	0.68016	ymfL	hypothetical protein
1765588_s_at	0.04611353	9.04e-04	-4.684464	-0.7501	-0.35594	cydB///cydB///cydB///ECs0769	cytochrome D ubiquinol oxidase subunit II///cytochrome d terminal oxidase polypeptide subunit II///cytochrome d terminal oxidase, subunit II///cytochrome d terminal oxidase polypeptide subunit II
1767357_s_at	0.04624091	9.12e-04	-4.67817	-0.75989	-0.58282	nikE///nikE///nikE///nikE	nickel transporter ATP-binding protein NikE///nickel transporter ATP-binding protein NikE///nickel ABC transporter ATPase///nickel transporter ATP-binding protein NikE
1763499_s_at	0.04701222	9.34e-04	-4.66274	-0.78392	-0.84666	narH///narH///narH///ECs1730	respiratory nitrate reductase 1 subunit beta///nitrate reductase 1 subunit beta///nitrate reductase 1, beta (Fe-S) subunit///nitrate reductase 1 subunit beta
1759669_s_at	0.04712939	9.42e-04	-4.656697	-0.79334	-0.68726	nikD///nikD///nikD///nikD	nickel transporter ATP-binding protein NikD///nickel transporter ATP-binding protein NikD///nickel ABC transporter ATPase///nickel transporter ATP-binding protein NikD
1764717_s_at	0.04749049	9.56e-04	-4.647271	-0.80804	-0.23832	ydjI///Z2811///ydjI///ECs2482	hypothetical protein///aldolase///putative aldolase///aldolase
1764388_s_at	0.05034286	1.02e-03	4.604304	-0.87521	0.96234	c3200///yfdP	hypothetical protein///CPS-53 (KpLE1) prophage; uncharacterized protein
1765170_s_at	0.05083816	1.04e-03	4.593555	-0.89206	0.30948	nudE///nudE///nudE///nudE	ADP-ribose diphosphatase NudE///ADP-ribose diphosphatase NudE///adenosine nucleotide hydrolase; Ap3A/Ap2A/ADP-ribose/NADH hydrolase///ADP-ribose diphosphatase NudE
1763636_at	0.05164289	1.06e-03	-4.578942	-0.91498	-1.10106	c1435	hypothetical protein
1765918_s_at	0.0516965	1.07e-03	-4.574043	-0.92268	-0.19896	atoE///atoE	Short-chain fatty acids transporter///short chain fatty acid transporter
1766624_s_at	0.05268761	1.09e-03	-4.557347	-0.94892	-0.44136	c2523///Z1654///Z1214///ECs1399///ECs2798	hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein///hypothetical protein
1762663_at	0.05554997	1.16e-03	4.518434	-1.01022	0.5051	c3197	repressor protein of prophage
1766020_s_at	0.05764757	1.21e-03	4.490044	-1.05507	0.2558	c1210	hypothetical protein
1764323_s_at	0.05938605	1.26e-03	-4.466554	-1.09226	-1.10324	narK///narK///narK///ECs1728	nitrite extrusion protein 1///nitrite extrusion protein///nitrate/nitrite transporter///nitrite extrusion protein
1764940_at	0.05939015	1.27e-03	-4.460154	-1.10241	-0.49168	nrdD	anaerobic ribonucleoside triphosphate reductase
